Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision,Application_Date,Offer_Date,Join_Date,Days_to_Offer,Days_to_Join,Funnel_Stage_Drop,Month
48,0,2,3,1,23.85,76,72,26,2,1,2024-05-15,2024-06-06,2024-07-06,22,30.0,Joined,Jun-2024
34,0,2,10,5,39.8,26,2,46,2,1,2024-04-20,2024-04-30,2024-05-07,10,7.0,Joined,Apr-2024
27,1,2,14,2,20.71,77,89,79,1,1,2024-06-24,2024-07-20,2024-08-19,26,30.0,Joined,Jul-2024
40,1,2,12,4,21.82,23,8,5,3,0,2024-06-06,2024-07-16,,40,,Dropped at Screening,Jul-2024
38,1,1,7,3,19.76,66,50,54,1,0,2024-02-27,2024-03-26,,28,,Dropped at Offer,Mar-2024
42,1,3,13,2,36.23,62,15,96,3,1,2024-03-26,2024-04-22,2024-05-15,27,23.0,Joined,Apr-2024
30,0,1,2,5,27.83,93,87,43,2,0,2024-02-24,2024-03-11,,16,,Dropped at Offer,Mar-2024
30,0,1,9,1,47.25,98,77,17,3,1,2024-05-01,2024-05-28,2024-06-14,27,17.0,Joined,May-2024
43,0,1,5,3,13.29,47,2,15,1,0,2024-04-17,2024-05-09,,22,,Dropped at Interview,May-2024
43,0,2,0,2,5.93,62,97,11,1,0,2024-02-17,2024-03-12,,24,,Dropped at Offer,Mar-2024
22,0,2,6,2,20.27,77,96,19,2,1,2024-05-11,2024-05-29,2024-06-21,18,23.0,Joined,May-2024
41,1,2,7,2,31.22,11,23,44,1,1,2024-06-13,2024-07-04,2024-08-02,21,29.0,Joined,Jul-2024
21,0,3,10,5,43.18,27,72,63,1,1,2024-05-15,2024-06-18,2024-06-25,34,7.0,Joined,Jun-2024
43,1,1,13,5,17.96,43,12,58,3,0,2024-05-08,2024-06-08,,31,,Dropped at Interview,Jun-2024
49,1,3,7,5,33.04,92,1,92,1,1,2024-02-16,2024-03-10,2024-03-25,23,15.0,Joined,Mar-2024
21,1,2,2,4,18.16,42,70,93,2,1,2024-01-05,2024-01-20,2024-02-09,15,20.0,Joined,Jan-2024
40,1,3,13,2,31.24,16,20,89,2,1,2024-06-26,2024-07-06,2024-07-27,10,21.0,Joined,Jul-2024
52,0,1,9,3,44.36,39,18,21,1,1,2024-01-24,2024-02-16,2024-03-17,23,30.0,Joined,Feb-2024
31,1,1,0,5,12.34,48,88,96,2,1,2024-06-23,2024-07-09,2024-07-16,16,7.0,Joined,Jul-2024
41,1,2,8,5,20.81,84,46,46,3,1,2024-01-18,2024-02-26,2024-03-05,39,8.0,Joined,Feb-2024
44,1,2,12,2,49.67,56,21,28,3,0,2024-03-24,2024-04-24,,31,,Dropped at Offer,Apr-2024
46,0,3,5,5,43.56,86,74,85,1,0,2024-06-04,2024-07-01,,27,,Dropped at Offer,Jul-2024
47,0,2,10,4,28.67,83,32,44,1,0,2024-01-05,2024-01-29,,24,,Dropped at Offer,Jan-2024
35,0,2,8,4,26.31,63,31,76,3,0,2024-01-30,2024-03-04,,34,,Dropped at Offer,Mar-2024
34,1,1,6,5,14.95,74,63,8,2,1,2024-01-01,2024-01-13,2024-02-06,12,24.0,Joined,Jan-2024
22,1,2,0,2,26.34,56,84,23,1,1,2024-03-26,2024-04-15,2024-05-09,20,24.0,Joined,Apr-2024
26,0,2,11,2,42.56,97,38,14,1,0,2024-03-22,2024-04-25,,34,,Dropped at Offer,Apr-2024
40,1,1,11,2,34.57,73,83,35,2,0,2024-06-22,2024-07-08,,16,,Dropped at Offer,Jul-2024
28,0,1,0,1,15.21,73,71,12,1,0,2024-03-09,2024-03-30,,21,,Dropped at Offer,Mar-2024
37,0,3,5,5,10.87,69,41,90,2,1,2024-01-31,2024-02-22,2024-03-05,22,12.0,Joined,Feb-2024
23,1,2,4,2,14.0,99,100,43,2,1,2024-03-31,2024-04-23,2024-05-19,23,26.0,Joined,Apr-2024
44,1,1,8,4,9.32,87,8,100,2,1,2024-04-02,2024-04-12,2024-04-26,10,14.0,Joined,Apr-2024
33,1,3,1,3,5.69,75,24,70,2,0,2024-05-06,2024-05-21,,15,,Dropped at Offer,May-2024
28,1,3,7,3,21.54,42,88,71,2,0,2024-06-04,2024-06-27,,23,,Dropped at Interview,Jun-2024
45,0,2,10,2,6.55,22,96,100,3,0,2024-01-16,2024-02-14,,29,,Dropped at Screening,Feb-2024
21,0,2,4,3,9.42,26,1,77,2,0,2024-02-23,2024-03-17,,23,,Dropped at Screening,Mar-2024
39,0,3,1,3,27.82,57,18,75,3,0,2024-05-19,2024-06-20,,32,,Dropped at Offer,Jun-2024
47,0,1,12,1,9.07,36,19,35,2,1,2024-01-20,2024-02-05,2024-02-12,16,7.0,Joined,Feb-2024
26,0,3,9,4,4.13,5,92,60,1,1,2024-03-22,2024-04-13,2024-05-04,22,21.0,Joined,Apr-2024
27,1,2,10,4,16.55,64,69,80,3,1,2024-06-10,2024-07-16,2024-08-01,36,16.0,Joined,Jul-2024
54,0,1,10,1,11.8,5,16,39,1,1,2024-05-30,2024-06-24,2024-07-04,25,10.0,Joined,Jun-2024
33,0,1,11,1,26.25,49,88,92,2,1,2024-04-18,2024-05-09,2024-05-25,21,16.0,Joined,May-2024
36,0,3,5,3,6.02,21,67,26,2,0,2024-06-03,2024-06-13,,10,,Dropped at Screening,Jun-2024
23,1,2,9,5,37.84,87,93,0,1,1,2024-04-22,2024-05-23,2024-06-09,31,17.0,Joined,May-2024
21,1,3,7,3,45.41,24,83,33,2,0,2024-01-17,2024-02-10,,24,,Dropped at Screening,Feb-2024
25,1,3,3,1,37.43,78,2,67,1,1,2024-06-24,2024-07-28,2024-08-08,34,11.0,Joined,Jul-2024
23,1,3,1,4,27.11,89,86,87,2,0,2024-05-28,2024-06-09,,12,,Dropped at Offer,Jun-2024
48,0,1,11,3,43.17,71,50,20,2,0,2024-06-26,2024-07-12,,16,,Dropped at Offer,Jul-2024
37,0,1,10,5,35.05,50,81,32,3,0,2024-06-16,2024-07-30,,44,,Dropped at Interview,Jul-2024
45,1,2,4,3,1.52,87,25,6,1,0,2024-05-05,2024-05-28,,23,,Dropped at Offer,May-2024
53,1,2,14,2,20.31,47,55,64,2,0,2024-01-03,2024-01-25,,22,,Dropped at Interview,Jan-2024
29,0,3,11,3,42.7,69,99,2,1,0,2024-01-17,2024-02-14,,28,,Dropped at Offer,Feb-2024
33,0,3,1,1,17.95,98,63,50,3,1,2024-02-19,2024-03-22,2024-04-06,32,15.0,Joined,Mar-2024
50,1,3,1,4,2.73,64,7,78,1,0,2024-05-01,2024-05-30,,29,,Dropped at Offer,May-2024
34,1,2,14,4,37.56,59,80,94,3,0,2024-03-30,2024-05-12,,43,,Dropped at Offer,May-2024
